dateID,Year
1,1967
2,1968
3,1969
4,1970
5,1971
6,1972
7,1973
8,1974
9,1975
10,1976
11,1977
12,1978
13,1979
14,1980
15,1981
16,1982
17,1983
18,1984
19,1985
20,1986
21,1987
22,1988
23,1989
24,1990
25,1991
26,1992
27,1993
28,1994
29,1995
30,1996
31,1997
32,1998
33,1999
34,2000
35,2001
36,2002
37,2003
38,2004
39,2005
40,2006
41,2007
42,2008
43,2009
44,2010
45,2011
46,2012
47,2013
48,2014
49,2015
50,2016
51,2017
52,2018
53,2019
271,1959
272,1960
273,1961
274,1962
275,1963
276,1964
277,1965
278,1966
649,1955
650,1956
651,1957
652,1958
