ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
1,29,34,2,327,53,59,343,28,53,59,6820.0,0.077316632184998
2,29,34,2,327,53,59,344,28,53,59,6820.0,0.077316632184998
3,29,34,2,327,53,59,345,28,53,59,6820.0,0.077316632184998
4,29,34,2,327,53,60,343,28,53,60,6820.0,0.077316632184998
5,29,34,2,327,53,60,344,28,53,60,6820.0,0.077316632184998
6,29,34,2,327,53,60,345,28,53,60,6820.0,0.077316632184998
7,29,34,2,327,53,61,343,28,53,61,6820.0,0.077316632184998
8,29,34,2,327,53,61,344,28,53,61,6820.0,0.077316632184998
9,29,34,2,327,53,61,345,28,53,61,6820.0,0.077316632184998
10,29,34,2,327,53,62,343,28,53,62,6820.0,0.077316632184998
11,29,34,2,327,53,62,344,28,53,62,6820.0,0.077316632184998
12,29,34,2,327,53,62,345,28,53,62,6820.0,0.077316632184998
13,29,34,2,327,53,63,343,28,53,63,6820.0,0.077316632184998
14,29,34,2,327,53,63,344,28,53,63,6820.0,0.077316632184998
15,29,34,2,327,53,63,345,28,53,63,6820.0,0.077316632184998
16,29,34,2,327,54,59,343,28,54,59,6820.0,0.077316632184998
17,29,34,2,327,54,59,344,28,54,59,6820.0,0.077316632184998
18,29,34,2,327,54,59,345,28,54,59,6820.0,0.077316632184998
19,29,34,2,327,54,60,343,28,54,60,6820.0,0.077316632184998
20,29,34,2,327,54,60,344,28,54,60,6820.0,0.077316632184998
21,29,34,2,327,54,60,345,28,54,60,6820.0,0.077316632184998
22,29,34,2,327,54,61,343,28,54,61,6820.0,0.077316632184998
23,29,34,2,327,54,61,344,28,54,61,6820.0,0.077316632184998
24,29,34,2,327,54,61,345,28,54,61,6820.0,0.077316632184998
25,29,34,2,327,54,62,343,28,54,62,6820.0,0.077316632184998
26,29,34,2,327,54,62,344,28,54,62,6820.0,0.077316632184998
27,29,34,2,327,54,62,345,28,54,62,6820.0,0.077316632184998
28,29,34,2,327,54,63,343,28,54,63,6820.0,0.077316632184998
29,29,34,2,327,54,63,344,28,54,63,6820.0,0.077316632184998
30,29,34,2,327,54,63,345,28,54,63,6820.0,0.077316632184998
31,29,34,2,327,55,59,343,28,55,59,6820.0,0.077316632184998
32,29,34,2,327,55,59,344,28,55,59,6820.0,0.077316632184998
33,29,34,2,327,55,59,345,28,55,59,6820.0,0.077316632184998
34,29,34,2,327,55,60,343,28,55,60,6820.0,0.077316632184998
35,29,34,2,327,55,60,344,28,55,60,6820.0,0.077316632184998
36,29,34,2,327,55,60,345,28,55,60,6820.0,0.077316632184998
37,29,34,2,327,55,61,343,28,55,61,6820.0,0.077316632184998
