CountryKey,Country,Code,Latitude,Longitude,Continent,Capital
1,Andorra,AND,42.546245,1.601554,Europe,Andorra la Vella
2,United Arab Emirates,ARE,23.424076,53.847818,Asia,Abu Dhabi
3,Afghanistan,AFG,33.93911,67.709953,Asia,Kabul
4,Antigua and Barbuda,ATG,17.060816,-61.796428,North America,Saint John’s
5,Anguilla,AIA,18.220554,-63.068615,North America,The Valley
6,Albania,ALB,41.153332,20.168331,Europe,Tirana
7,Armenia,ARM,40.069099,45.038189,Asia,Yerevan
8,Angola,AGO,-11.202692,17.873887,Africa,Luanda
9,Argentina,ARG,-38.416097,-63.616672,South America,Buenos Aires
10,American Samoa,ASM,-14.270972,-170.132217,Oceania,Pago Pago
11,Austria,AUT,47.516231,14.550072,Europe,Vienna
12,Australia,AUS,-25.274398,133.775136,Oceania,Canberra
13,Aruba,ABW,12.52111,-69.968338,North America,Oranjestad
14,Azerbaijan,AZE,40.143105,47.576927,Asia,Baku
15,Bosnia and Herzegovina,BIH,43.915886,17.679076,Europe,Sarajevo
16,Barbados,BRB,13.193887,-59.543198,North America,Bridgetown
17,Bangladesh,BGD,23.684994,90.356331,Asia,Dhaka
18,Belgium,BEL,50.503887,4.469936,Europe,Brussels
19,Burkina Faso,BFA,12.238333,-1.561593,Africa,Ouagadougou
20,Bulgaria,BGR,42.733883,25.48583,Europe,Sofia
21,Bahrain,BHR,25.930414,50.637772,Asia,Manama
22,Burundi,BDI,-3.373056,29.918886,Africa,Bujumbura
23,Benin,BEN,9.30769,2.315834,Africa,Porto-Novo
24,Bermuda,BMU,32.321384,-64.75737,North America,Hamilton
25,Brunei,BRN,4.535277,114.727669,Asia,Bandar Seri Begawan
26,Bolivia,BOL,-16.290154,-63.588653,South America,Sucre
27,Brazil,BRA,-14.235004,-51.92528,South America,Brasilia
28,Bahamas,BHS,25.03428,-77.39628,North America,Nassau
29,Bhutan,BTN,27.514162,90.433601,Asia,Thimphu
30,Botswana,BWA,-22.328474,24.684866,Africa,Gaborone
31,Belarus,BLR,53.709807,27.953389,Europe,Minsk
32,Belize,BLZ,17.189877,-88.49765,North America,Belmopan
33,Canada,CAN,56.130366,-106.346771,North America,Ottawa
34,Central African Republic,CAF,6.611111,20.939444,Africa,Bangui
35,Switzerland,CHE,46.818188,8.227512,Europe,Bern
36,Cook Islands,COK,-21.236736,-159.777671,Oceania,Avarua
37,Chile,CHL,-35.675147,-71.542969,South America,Santiago
38,Cameroon,CMR,7.369722,12.354722,Africa,Yaounde
39,China,CHN,35.86166,104.195397,Asia,Beijing
40,Colombia,COL,4.570868,-74.297333,South America,Bogota
41,Costa Rica,CRI,9.748917,-83.753428,North America,San José
42,Cuba,CUB,21.521757,-77.781167,North America,Havana
43,Cape Verde,CPV,16.002082,-24.013197,Africa,Praia
44,Cyprus,CYP,35.126413,33.429859,Europe,Nicosia
45,Czech Republic,CZE,49.817492,15.472962,Europe,Prague
46,Germany,DEU,51.165691,10.451526,Europe,Berlin
47,Djibouti,DJI,11.825138,42.590275,Africa,Djibouti
48,Denmark,DNK,56.26392,9.501785,Europe,Copenhagen
49,Dominica,DMA,15.414999,-61.370976,North America,Roseau
50,Dominican Republic,DOM,18.735693,-70.162651,North America,Santo Domingo
51,Algeria,DZA,28.033886,1.659626,Africa,Algiers
52,Ecuador,ECU,-1.831239,-78.183406,South America,Quito
53,Estonia,EST,58.595272,25.013607,Europe,Tallinn
54,Egypt,EGY,26.820553,30.802498,Africa,Cairo
55,Western Sahara,ESH,24.215527,-12.885834,Africa,El Aaiún
56,Eritrea,ERI,15.179384,39.782334,Africa,Asmara
57,Spain,ESP,40.463667,-3.74922,Europe,Madrid
58,Ethiopia,ETH,9.145,40.489673,Africa,Addis Ababa
59,Finland,FIN,61.92411,25.748151,Europe,Helsinki
60,Fiji,FJI,-16.578193,179.414413,Oceania,Suva
61,Micronesia,FSM,7.425554,150.550812,Oceania,Palikir
62,Faroe Islands,FRO,61.892635,-6.911806,Europe,Tórshavn
63,France,FRA,46.227638,2.213749,Europe,Paris
64,Gabon,GAB,-0.803689,11.609444,Africa,Libreville
65,United Kingdom,GBR,55.378051,-3.435973,Europe,London
66,Grenada,GRD,12.262776,-61.604171,North America,Saint George's
67,Georgia,GEO,42.315407,43.356892,Asia,Tbilisi
68,French Guiana,GUF,3.933889,-53.125782,South America,Cayenne
69,Guernsey,GGY,49.465691,-2.585278,Europe,Saint Peter Port
70,Ghana,GHA,7.946527,-1.023194,Africa,Accra
71,Gibraltar,GIB,36.137741,-5.345374,Europe,Gibraltar
72,Greenland,GRL,71.706936,-42.604303,North America,Nuuk
73,Gambia,GMB,13.443182,-15.310139,Africa,Banjul
74,Guinea,GIN,9.945587,-9.696645,Africa,Conakry
75,Guadeloupe,GLP,16.995971,-62.067641,North America,Basse-Terre
76,Equatorial Guinea,GNQ,1.650801,10.267895,Africa,Malabo
77,Greece,GRC,39.074208,21.824312,Europe,Athens
78,Guatemala,GTM,15.783471,-90.230759,North America,Guatemala City
79,Guam,GUM,13.444304,144.793731,Oceania,Hagåtña
80,Guinea-Bissau,GNB,11.803749,-15.180413,Africa,Bissau
81,Guyana,GUY,4.860416,-58.93018,South America,Georgetown
82,Hong Kong,HKG,22.396428,114.109497,Asia,Hong Kong
83,Honduras,HND,15.199999,-86.241905,North America,Tegucigalpa
84,Croatia,HRV,45.1,15.2,Europe,Zagreb
85,Haiti,HTI,18.971187,-72.285215,North America,Port-au-Prince
86,Hungary,HUN,47.162494,19.503304,Europe,Budapest
87,Indonesia,IDN,-0.789275,113.921327,Asia,Jakarta
88,Ireland,IRL,53.41291,-8.24389,Europe,Dublin
89,Israel,ISR,31.046051,34.851612,Asia,Jerusalem
90,Isle of Man,IMN,54.236107,-4.548056,Europe,Douglas
91,India,IND,20.593684,78.96288,Asia,New Delhi
92,Iraq,IRQ,33.223191,43.679291,Asia,Baghdad
93,Iran,IRN,32.427908,53.688046,Asia,Tehran
94,Iceland,ISL,64.963051,-19.020835,Europe,Reykjavík
95,Italy,ITA,41.87194,12.56738,Europe,Rome
96,Jersey,JEY,49.214439,-2.13125,Europe,Saint Helier
97,Jamaica,JAM,18.109581,-77.297508,North America,Kingston
98,Jordan,JOR,30.585164,36.238414,Asia,Amman
99,Japan,JPN,36.204824,138.252924,Asia,Tokyo
100,Kenya,KEN,-0.023559,37.906193,Africa,Nairobi
101,Kyrgyzstan,KGZ,41.20438,74.766098,Asia,Bishkek
102,Cambodia,KHM,12.565679,104.990963,Asia,Phnom Penh
103,Kiribati,KIR,-3.370417,-168.734039,Oceania,Tarawa
104,Comoros,COM,-11.875001,43.872219,Africa,Moroni
105,Saint Kitts and Nevis,KNA,17.357822,-62.782998,North America,Basseterre
106,North Korea,PRK,40.339852,127.510093,Asia,Pyongyang
107,South Korea,KOR,35.907757,127.766922,Asia,Seoul
108,Kuwait,KWT,29.31166,47.481766,Asia,Kuwait City
109,Cayman Islands,CYM,19.513469,-80.566956,North America,George Town
110,Kazakhstan,KAZ,48.019573,66.923684,Asia,Nursultan
111,Laos,LAO,19.85627,102.495496,Asia,Vientiane
112,Lebanon,LBN,33.854721,35.862285,Asia,Beirut
113,Saint Lucia,LCA,13.909444,-60.978893,North America,Castries
114,Liechtenstein,LIE,47.166,9.555373,Europe,Vaduz
115,Sri Lanka,LKA,7.873054,80.771797,Asia,Colombo
116,Liberia,LBR,6.428055,-9.429499,Africa,Monrovia
117,Lesotho,LSO,-29.609988,28.233608,Africa,Maseru
118,Lithuania,LTU,55.169438,23.881275,Europe,Vilnius
119,Luxembourg,LUX,49.815273,6.129583,Europe,Luxembourg
120,Latvia,LVA,56.879635,24.603189,Europe,Riga
121,Libya,LBY,26.3351,17.228331,Africa,Tripoli
122,Morocco,MAR,31.791702,-7.09262,Africa,Rabat
123,Monaco,MCO,43.750298,7.412841,Europe,Monaco
124,Moldova,MDA,47.411631,28.369885,Europe,Chisinau
125,Montenegro,MNE,42.708678,19.37439,Europe,Podgorica
126,Madagascar,MDG,-18.766947,46.869107,Africa,Antananarivo
127,Marshall Islands,MHL,7.131474,171.184478,Oceania,Majuro
128,Mali,MLI,17.570692,-3.996166,Africa,Bamako
129,Myanmar,MMR,21.913965,95.956223,Asia,Nay Pyi Taw
130,Mongolia,MNG,46.862496,103.846656,Asia,Ulaanbaatar
131,Macau,MAC,22.198745,113.543873,Asia,Concelho de Macau
132,Northern Mariana Islands,NFK,17.33083,145.38469,Oceania,Saipan
133,Martinique,MTQ,14.641528,-61.024174,North America,Fort-de-France
134,Mauritania,MRT,21.00789,-10.940835,Africa,Nouakchott
135,Montserrat,MSR,16.742498,-62.187366,North America,Brades
136,Malta,MLT,35.937496,14.375416,Europe,Valletta
137,Mauritius,MUS,-20.348404,57.552152,Africa,Port Louis
138,Maldives,MDV,3.202778,73.22068,Asia,Malé
139,Malawi,MWI,-13.254308,34.301525,Africa,Lilongwe
140,Mexico,MEX,23.634501,-102.552784,North America,Mexico City
141,Malaysia,MYS,4.210484,101.975766,Asia,Kuala Lumpur
142,Mozambique,MOZ,-18.665695,35.529562,Africa,Maputo
143,Namibia,NAM,-22.95764,18.49041,Africa,Windhoek
144,New Caledonia,NCL,-20.904305,165.618042,Oceania,Nouméa
145,Niger,NER,17.607789,8.081666,Africa,Niamey
146,Nigeria,NGA,9.081999,8.675277,Africa,Abuja
147,Nicaragua,NIC,12.865416,-85.207229,North America,Managua
148,Netherlands,NLD,52.132633,5.291266,Europe,Amsterdam
149,Norway,NOR,60.472024,8.468946,Europe,Oslo
150,Nepal,NPL,28.394857,84.124008,Asia,Kathmandu
151,Nauru,NRU,-0.522778,166.931503,Oceania,Yaren
152,Niue,NIU,-19.054445,-169.867233,Oceania,Alofi
153,New Zealand,NZL,-40.900557,174.885971,Oceania,Wellington
154,Oman,OMN,21.512583,55.923255,Asia,Muscat
155,Panama,PAN,8.537981,-80.782127,North America,Panama City
156,Peru,PER,-9.189967,-75.015152,South America,Lima
157,French Polynesia,PYF,-17.679742,-149.406843,Oceania,Papeete
158,Papua New Guinea,PNG,-6.314993,143.95555,Oceania,Port Moresby
159,Philippines,PHL,12.879721,121.774017,Asia,Manila
160,Pakistan,PAK,30.375321,69.345116,Asia,Islamabad
161,Poland,POL,51.919438,19.145136,Europe,Warsaw
162,Saint Pierre and Miquelon,SPM,46.941936,-56.27111,North America,Saint-Pierre
163,Puerto Rico,PRI,18.220833,-66.590149,North America,San Juan
164,Portugal,PRT,39.399872,-8.224454,Europe,Lisbon
165,Palau,PLW,7.51498,134.58252,Oceania,Ngerulmud
166,Paraguay,PRY,-23.442503,-58.443832,South America,Asunción
167,Qatar,QAT,25.354826,51.183884,Asia,Doha
168,Romania,ROU,45.943161,24.96676,Europe,Bucharest
169,Serbia,SRB,44.016521,21.005859,Europe,Belgrade
